url;isMobile;score;failedAudits;report;time
=HYPERLINK("https://pwa.glitch.me/");true;91;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fpwa.glitch.me_2018-02-11.mobile.json%3Fgeneration%3D1518386886989178%26alt%3Dmedia");18.298
=HYPERLINK("https://q-citrix.salesnext.com/login");true;100;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fq-citrix.salesnext.com_2018-02-11.mobile.json%3Fgeneration%3D1518386900713233%26alt%3Dmedia");17.872
=HYPERLINK("https://react-hn.appspot.com/");true;64;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Freact-hn.appspot.com_2018-02-11.mobile.json%3Fgeneration%3D1518386901667054%26alt%3Dmedia");17.909
=HYPERLINK("https://m.skinstore.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fskinstore.com_2018-02-11.mobile.json%3Fgeneration%3D1518386899100204%26alt%3Dmedia");35.722
=HYPERLINK("http://www.sunglasshut.com/uk");true;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fsunglasshut.com_2018-02-11.mobile.json%3Fgeneration%3D1518386900649496%26alt%3Dmedia");44.824
=HYPERLINK("https://www.theshadestore.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Ftheshadestore.com_2018-02-11.mobile.json%3Fgeneration%3D1518386896755852%26alt%3Dmedia");25.763
=HYPERLINK("https://m.toysrus.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Ftoysrus.com_2018-02-11.mobile.json%3Fgeneration%3D1518386894587464%26alt%3Dmedia");55.071
=HYPERLINK("https://www.trunkclub.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Ftrunkclub.com_2018-02-11.mobile.json%3Fgeneration%3D1518386892574820%26alt%3Dmedia");29.439
=HYPERLINK("http://veerle.duoh.com/");true;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fveerle.duoh.com_2018-02-11.mobile.json%3Fgeneration%3D1518386898945861%26alt%3Dmedia");22.708
=HYPERLINK("https://www.walgreens.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwalgreens.com_2018-02-11.mobile.json%3Fgeneration%3D1518386895470048%26alt%3Dmedia");63.45
=HYPERLINK("https://weather.com/");false;64;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fweather.com_2018-02-11.desktop.json%3Fgeneration%3D1518386907107881%26alt%3Dmedia");46.723
=HYPERLINK("https://weather.com/");true;64;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fweather.com_2018-02-11.mobile.json%3Fgeneration%3D1518386897788407%26alt%3Dmedia");57.762
=HYPERLINK("https://www.weddingtonway.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fweddingtonway.com_2018-02-11.mobile.json%3Fgeneration%3D1518386895503404%26alt%3Dmedia");33.437
=HYPERLINK("https://www.whitehouseblackmarket.com/store/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwhitehouseblackmarket.com_2018-02-11.mobile.json%3Fgeneration%3D1518386901854040%26alt%3Dmedia");64.38
